Name,Location,Serves,Prices,Contact Person,Phones,Website
Ackorn Alan’s House,Long Beach,Men,$800--$1000,Natasha Rudar, (714) 791-0119,www.ackornhouse.com/
Ackorn House Nebraska,Long Beach,Men,$800--$1000,Natasha Rudar, (714) 791-0119,www.ackornhouse.com/
Action Sober Living – Nassau Community,Los Angeles,Men,"$1,350",Robert Anderson, (323) 343-8933,
Action Sober Living Community I,Los Angeles,Men,"$1,050",Robert Anderson, (323) 343-8933,
Action Sober Living Community II,Los Angeles,Men,"$1,050",Robert Anderson, (323) 343-8933,
Advanced House Sober Living,Venice,Men,"$4,500",Chris Rudd, (310) 450-7194,advancedhousesoberliving.com/
Aim High Sober Living,Wilmington,Men,Varies,Mayra, (310) 863-9535,aimhighsoberliving.org
Aim High Sober Living,Los Angeles,Men,$1350,Mayra Martinez, (310) 863-9335,www..aimhighliving.org
Aim High Sober Living,Los Angeles,Men,$750,Mayra Martinez, (310) 863-9335,www..aimhighliving.org
All About Change Recovery Services,Los Angeles,Coed,$700,Rochelle Johnson, (310) 910-3069,allaboutchange.net
Angel Villa,Encino,Coed,$1800,Georga, *818) 571-8946,www.angelvillasoberhousing.com
Atlas House,Huntington Park,Men,$950,Thibart Dupvis, (323) 802-8484,
Babo’s House,Compton,Coed,$1000,Misha, (323) 704-8508,
Babo’s House LLC,Compton,Men,$1000,Misha, (323) 704-8508,
BB House,San Bernardino,Men,$300,Shawn Young, (909) 884-0840,
BB House II,San Bernardino,Men,$300,Shawn Young, (909) 884-0840,
Beacon House – McMillen,San Pedro,Men,Varies,Timothy Shin, (310) 503-7144,www.thebeaconhouse.org
Beacon House – Proper,San Pedro,Men,Varies,Timothy Shin, (310) 503-7144,www.thebeaconhouse.org
Beacon House ASSN of San Pedro,San Pedro,Men,RBH,Timothy Shin, (310) 503-7744,
Beck House,Placerville,"Men, Women, Coed",$950,Janina Guarino, (916) 368-0700,betterdecisionsinc.org
Better Decisions – SLE,Sacramento,Coed,$850-$1350,Janina Guarino, (916) 368-0700,betterdecisionsinc.org
A Better You Services,Sacramento,Men,$700,Nancy, (916) 416-6746,abetteryouservices.com
A Better You Services,Sacramento,Men,Price,Nancy Holden, (916) 454-4242,www.abetteryouservices.com
A Better You Services – Breanna Ct.,Sacramento,Men,Varies,Nancy Holden, (916) 454-4242,www.abetteryouservices.com
A Better You Services – Calla Way,Sacramento,Men,Varies,Nancy Holden, (916) 454-4242,www.abetteryouservices.com
A Better You Services – Grand,Sacramento,Men,Varies,Nancy Holden,9164544242,www.abetteryouservices.com
A Better You Services – Yosemite,Sacramento,Men,Varies,Nancy Holden, (916) 454-4242,www.abetteryouservices.com
BHS – Red Gate,Long Beach,Men,$400,Candy Cargill-Fuller, (562) 599-8444,
BHS – Red Gate – Men in Progress,Long Beach,Men,$400,Candy Cargill-Fuller, (562) 599-8444,
BHS – Red Gate Hopwa House – We Can,Long Beach,Men,$400,Candy Cargill-Fuller, (562) 599-8444,
BHS – The Journey Back,Torrance,Men,$400,Tommy Wyatt, (310) 679-9126 X 1229,
BHS Flossie Lewis Sober Living,Long Beach,Men,$450,Candy Cargill-Fuller, (562) 599-8444,
BHS The Way Back In,Inglewood,Men,$400,Tommy Wyatt, (310) 679-2920,
Big Smiles House,Los Angeles,Men,$900,Marcus, 562-416-3254,www.bigsmilesfoundation.org
Big Smiles House 2,Long Beach,Men,$950,Marcus, (562) 416-3254,www.bigsmilesfoundation.org
Birdsong Sober Living,Solana Beach,Women,$2500,Laura Cate, (858) 215-1216,birdsongsoberliving.com
Bridge Creek,Sacramento,Coed,$900,Anthony Wingfield, (209) 513-2319,www://valleysoberliving.org
The Bridge-Consortium,Perris,Men,Varies,Colleen Jackson, 951-943-0656,thebridge-consortium.com/
The Broadway House,Long Beach,Coed,$750,Ila Oldakowski, (562) 243-7121,
Cabrito Foundation,Canoga Park,Men,$800,Daniel H, (818) 704-5175,www.cabritohouse.org
Care For Others Foundation,Los Angeles,Women,$575.00,James, (310) 946-5034,www.careforothersfoundation.org
Chains of Love Sober Living,Los Angeles,Women,$900,Mary Wells, (323) 252-2119,
Chandler Lodge,North Hollywood,Men,$975,Steve Fawbush, (818) 766-4534,www://Chandlerlodge.org
Chapter 1 Recovery Residence,Stockton,Women,$700,Eric, (209) 518-1055,
Clear Skies Ranch – August House,Reseda,Men,$1000,Gabrielle, (818) 321-6297,clearskiesranch.org
Coast Recovery – Van Nuys,Van Nuys,Men,$950,Terry Frost, (213) 347-4022,www.coastrecovery.org
Coast Recovery LLC,North Hollywood,Men,$950,Terry Frost, (213) 347-4022,www.coastrecovery.org
Conscience Hearts Recovery Home,Riverside,Men,$750,Conor Van Nguyen, 714-330-9507,
Cornerstone X,Azusa,Men,$800,Rodney, (626) 536-3028,cornerstonexsoberliving.com
The Crow’s Nest,Murrieta,Women,$900,Amy Konopka, 760-272-6816,www.thelemonadehouse.org
The Culture House,San Jacinto,Men,$720,Derrick Palacio, 323-491-4493,
Debra Place of Peace,Adelanto,Men,$750,Claudia Carr, (424) 331-8865,
Design For Recovery,Los Angeles,Men,$1500,Derek Eckley, (626) 703-1487,www.designforrecovery.com
Diamond House Sober Living LLC,Menifee,Men,$800,Evelyn Armas, (951) 553-3477,
Dog Castle,Laguna Hills,Men,"$1,200",William O'Conor, (949) 600-7704,doghouse-recovery.com
Dog Palace Sober Living,Laguna Hills,Men,"$1,200",William O'Connor, (949) 600-7704,doghouse-recovery.com
Doghouse Sober Living,Laguna Hills,Men,$1200,William O'Connor, (949) 600-7704,doghouse-recovery.com/
Doorway Living,Santa Ana,Men,$900,Eva Garcia, 714-488-5114,
Downtown Sober Living,Riverside,Men,$525,Chad Menson, 951-742-7884,
Elegant Care,Tracy,Men,$750,Paramdit, (209) 361-8833,
Elegant Care,Monteca,Men,$900,Paramdit, (209) 361-8833,
Elegant Care,Modesto,Women,$900,Paramdit, (209) 361-8833,
Elegant Care,Stockton,Men,$750,Paramdit, (209) 361-8833,
Elizabeth House,San Jacinto,"Women, Women With Children",$750,Lakeisha, (951) 376-8339,www.ourhomesawayfromhome.com
Elmer Day Homes 1,Riverside,Men,Varies,Johnny Giampapa, 951-234-5730,www.elmerdayhomes.com
Elmer Day Homes 2,Riverside,Men,Varies,Johnny Giampapa, (562) 315-3604,www.elmerdayhomes.com
Elmer Day Homes 3,Riverside,Men,Varies,Johnny Giampapa, (562) 315-3604,www.elmerdayhomes.com
Empowered Pathways (Women),Eastvale,Women,$900,Julie Roberts, (951) 818-1950,www.epsoberhome.com
Estrella House,Los Angeles,Men,$800,Matthew Wade, (442) 316-0584,truesoberliving.org
Fairview Supportive Living – Agoura Hills,Agoura Hills,Coed,"3,000",Peter, 805-300-1501,www.fairviewsoberliving.com
Fairview Supportive Living – Woodland Hills,Woodland Hills,Coed,"2,500",Peter, 805-300-1501,www.fairviewsoberliving.com
First Vessel Sober Living,Fullerton,Men,$850,Frank Zeledon, (818) 960-8609,www.firstvesselsoberliving.com
First Vessel Sober Living,Wilmington,Men,$850-$900,Frank Zeledon, (818) 960-8609,www.firstvesselsoberliving.com
First Vessel Sober Living,Norwalk,Men,$900,Frank Zeledon, (818) 960-8609,www.firstvesselsoberliving.com
First Vessel Sober Living,Los Angeles,Men,$900,Frank, (818) 960-8609,
First Vessel Sober Living,Los Angeles,Men,$900,Frank Zeledon, (818) 960-8609,www.firstvesselsoberliving.com
Fred Brown Recovery Services,San Pedro,Women,$690.00,Mark Malone, (310) 519-8723,www.fredbrown.org
Fred Brown’s Recovery Services — 1278,San Pedro,Women,$50 per/day,Liz Ortiz McGhee, (310) 601-7250,www.fredbrown.org
Fred Brown’s Recovery Services — 1329,Torrance,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 1343,San Pedro,Men,Varies,Mark Malone, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 20533,Torrance,Women,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 239,San Pedro,Men,$700,Mark Malone, (310) 519-8723,www.fredbrownrecovery.org
Fred Brown’s Recovery Services — 239/241,San Pedro,Men,$700,Mark Malone, 310-519-8723,www.fredbrownrecovery.org
Fred Brown’s Recovery Services — 242,San Pedro,Men,$690,Kenneth Piscopo, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 2825,San Pedro,Women,$50 per/day,Liz Ortiz McGhee, (310) 601-7250,www.fredbrown.org
Fred Brown’s Recovery Services — 337,San Pedro,Women,Varies,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 354/355,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 355/357,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 366,San Pedro,Men,Varies,Mark Malone, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 376,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 423/425,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 447,San Pedro,Women,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 477 1/2,San Pedro,Women,Varies,Mark Malone, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 522,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 554,San Pedro,Men,Varies,Office, (310) 519-8723,www.fredbrownrecovery.org
Fred Brown’s Recovery Services — 742,San Pedro,Men,Varies,Office, (310) 519-8723,www.fredbrownrecovery.org
Fred Brown’s Recovery Services — 776,San Pedro,"Men, Women",$700,Mark Malone,,www.fredbrownrecovery.org
Fred Brown’s Recovery Services — 872,San Pedro,Men,$690,Office, (310) 519-8723,www.fredbrownrecovery.org/
Fred Brown’s Recovery Services — 920,San Pedro,Women,Varies,Office, (310) 519-8723,www.fredbrownrecovery.org
Freedom House Sober Living,Moreno Valley,Women,$750,Morgan Poole, 951-297-7266,www.freedomhousesoberlivings.com
Fresh Start,Reseda,Women,$850,Lynn, (818) 642-6384,
Fresh Start,Sacramento,Men,$900 0 $1250,, (916) 880-0272,www.freshstartsacramento.com
Fresh Start,Sacramento,Men,$800,Igsaih Polstra, (916) 880-0272,www://freshstartsacramento.com
Fresh Start – Los Angeles,Los Angeles,Men,$600,Gabriela Hernandez, (323) 402-2124,
Georgia Adams House,Stockton,Men,$700,Pastor Damon Bridges, (209) 513-5330,rflministries.org
Gift of Life Sober Living Foundation,Los Angeles,Men,$575,Tiffany, (323) 342-5323,www.giftoflifesober.org
Gods Property Sober Living Foundation,Los Angeles,Men,$675,Earl, (323) 305-6701,www.godspropertysoberlivingfoundation.com
Gods Property Sober Living Foundation,Los Angeles,Men,Price,Earl, (323) 305-6701,www.godspropertysoberlivingfoundation.com
Gold Coast Sober Living Mens,East Ventura,Men,$650 - $700,Elgin Goodwin, (805) 312-6821,www.goldcoastsoberliving.com
Gold Coast Sober Living Mens,East Ventura,Men,$650 - $700,Elgin Ventura, 805 312-6821,www.goldcoastsoberliving.com
Gold Coast Sober Living Mens,Midtown Ventura,Men,$650 - $700,Elgin Goodwin, 805 312-6821,www.goldcoastsoberliving.com
Grace Refuge Recovery,Riverside,Coed,$800,Lizabeth Tovalin, 951-616-8509,gracerefugerecovery.com
Grateful Steps Supportive Housing,Riverside,Women,Varies,Steven Eannarino, (951) 972-5085,www.solwomenstreatment.com
Guiding Hope Sanctuary,Los Angeles,Coed,Varies,Elsa, (323) 334-5172,
H.E.L.P.S.,compton,Women,$600,Gazella Kirk, (424) 366-0541,
The Harmony House Recovery,Pomona,Men,$900,Tobias, (909) 451-9787,
Harry’s Place Sober Living,Lemon Grove,Men,Varies,Dixie Perigo, 619-372-8509,
Healing in LA,Los Angeles,Men,$800,Jennifer, (840) 228-7740,
Homes of Promise I,Pomona,Men,Varies,Rob Redmon, 909-762-2869,homesofpromise.org
Homes of Promise II,Pomona,Men,Varies,Rob Redmon, 909-762-2869,www.homesofpromise.org
Homes of Promise III,Pomona,Women,Varies,Rob Redmon, 909-762-2869,www.homesofpromise.org
Homes of Promise IV,Pomona,Men,Varies,Rob Redmon, 909-762-2869,www.homesofpromise.org
Homes of Promise V,Pomona,Men,Varies,Rob Redmon, 909-762-2869,www.homesofpromise.org
House of Courage Palos,Riverside,Men,Varies,Devana Came, 909-609-0001,www.thehouseofcourage.com/
House of Courage Ramona,Riverside,Men,Varies,Devana, (909) 609-0001,
House of Faith,Los Angeles,Men,$950,Jennifer, (840) 228-7740,
House of Rahab Community,Hemet,Men,$800,Evette Moss-Terry, 951-999-7022,
Housing Solved Country Club,Big Bear City,Men,$695,Vernon Alderson, (909) 351-3538,housingsolved.com
Humanity Recovery Homes – La Verne,La Verne,Women,$700,Cathy Ols, (909) 374-1114,
Inner Image,Long Beach,Coed,$700,Carl Earhart, (562) 786-1623,Myinnerimage.org
Inner Image — Wilmington,Wilmington,Men,$700,Carl, (562) 786-1623,myinnerimage.org
Inner Image 11th St.,Long Beach,Men,$700,Carl, (562) 786-1623,myinnerimage.org
It Starts With A Thought,Los Angeles,Coed,$600,Meshawn Davis, (310) 933-4459,www.onedayhousing.com
JCS Loving Arms Non Profit,Los Angeles,Coed,$575,Jennifer, (323) 797-7854,
Jenrose House,Elk Grove,Coed,$950,Janina Guarino, (916) 368-0700,
Jonny B’s,Corona,Men,$750,Jamil Syed, (909) 367-6818,
Joyful Solutions,Long Beach,"Men, Women",$650,Martha Forero, (562) 500-5151,
Joyful Solutions II,Long Beach,Men,$650,Martha Forero, (562) 500-5151,
Jubilee House for Men,RIVERSIDE,Men,$650,Mondene Dean, 951-776-1581,
The Justin House,Long Beach,Men,$900,Alicia/Quiana, 310-713-5979,
Khepera House,Ventura (West),Men,$550,Mick Baer, 805-653-2596,www.kheperahouse.org
Labre House Foundation,Coachella,Women,"$1,125",Patti Montemer, (562) 397-2884,www.labrehousefoundation.org
The Lemonade House,Temecula,Women,$800,Amy Konopka, 760-272-6816,www.thelemonadehouse.org/
Lemonade Recovery Homes,Visalia,Men,$750,Grace Koz, (408) 898-8791,www.lemonaderecoveryhomes.com
Lemonade Recovery Homes,Visalia,Men,Varies,Grace Koz, (408) 898-8791,www.lemonaderecoveryhomes.com
Lemonade Recovery Homes,Visalia,Men,Varies,Grace Koz, (408)  898-8791,www.lemonaderecoveryhomes.com
Life’s in Session,Chino,Men,$650,Rodney Colley, (626) 242-6562,
Living Hope Services – Manteca,Manteca,Men,Varies,Louis, (209) 831-2990,www://livinghopeservices.org
Living Hope Services – Tracy,Tracy,Men,$750,Louis, (209) 831-2990,www.livinghopeservices.org
Living Stone Sober Living LLC,Ceres,Men,$700,Steve Ryan, (209) 471-3394,
"Living Stone Sober Living, LLC",Ceres,Men,$700,Steve, (209) 471-3394,
"Living Stone Sober Living, LLC",Stockton,Men,$700,Steven Ryan, (209) 471-3394,
"Living Stone Sober Living, LLC",Stockton,Men,$700,Steve Ryan, (209) 471-3394,
Marina House Sober Living,Marina del Rey,Women,"$6,000",Alicia Mencacci, (310) 466-3713,www.marinahousesoberliving.com/
May House Sober Living,Monrovia,Women,Varies $850-$900,Cassaundra Young-Puig, (626) 226-8905,www.MayHouseSoberLiving.com
Maymuna 13 House,Los Angeles,Coed,Varies,Rosslynn Mitchell, (323) 282-1745,www.maymuna13corporation.org
MFI Appleton House,Riverside,Men,Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
MFI Caton House,Riverside,Men,Varies,Rita Pacheco, 952-218-0278,www.mfirecovery.com/
MFI Ensenada House,Riverside,Men,Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
MFI Locust House,Riverside,"Men, Women, Women With Children, Men With Children, Coed",Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
MFI Locust House 2,Riverside,"Men, Women, Women With Children, Men With Children, Coed",Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
MFI Norman House,Riverside,Men,Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
MFI Raincross House,Riverside,Women With Children,Varies,Rita Pacheco, 951-218-0278,www.mfirecovery.com/
Michelle’s House,Riverside,Men,$750,Jamil Syed, (909) 367-6818,
Minute by Minute,Murrieta,Men,$650,Jeremy Holmes, 951-579-0147,
Miracle of God Foundation,Los Angeles,"Men, Women",$650,Darren Holbert, 310-346-4565,www.dahbiz.org
Momentum Sober Living,Riverside,Women,Varies,Alona Harris, 310-486-5141,www.momentumsvcs.org
My Brother’s House – Whitney,Sacramento,Men,Varies,Nancy Holden, (916) 454-4242,www.abetteryouservices.com
New Life Recovery Home,Modesto,Men,Varies,Nate Quiles, (408) 661-0968,www.newvinerecoveryhomes.com
New Life Transitional Living – Los Coyotes,Long Beach,Coed,$800,Geoff Newman, 562-753-3093,
New Life Transitional Living -Wardlow,Long Beach,Coed,$800,Geoff Newman, 562-753-3093,
New Visions,Los Angeles,Men,$375,Everett Leisure, (323) 340-8384,
No Limits Revival Center,Stockton,Men,$750,Dorothy, (415) 410-7776,
Nouvel Residence,North Highlands,Men,$1000,Quoc, (916) 245-7025,www.nouvelresidence.com
One Day At A Time  — SLE,Los Angeles,Men,$575,Meshawn Davis, (310) 933-4459,onedayhousing.com
OOTTRR – Miracle Hill House,Palm Springs,Women,$800,Dennis Shepard, 760-406-2763,
OOTTRR-596 / Farrell House,Palm Springs,Men,"$1,200",Dennis Shepard, 760-406-2763,
OOTTRR-608 / Mainiero House,Palm Springs,Men,"$1,200",Dennis Shepard, 760-406-2763,
Open Arms Never Closed Family Housing,Los Angeles,"Men, Women",$1500,Terri, (323) 245-1805,
Open Arms Sober Living LLC,Stockton,Women,Varies,Patricia Hicks, (209) 400-2480,www.openarmssoberliving.com
Optimal Living — Blue,Riverside,Men,$800,Nita Cunningham, (909) 578-2351,www.optimalliving1.org
Optimal Living — Palace,Riverside,Women,$800,Nita Cunningham, (909) 578-2351,www.optimalliving1.org
Optimal Living — Snow,Moreno Valley,Women,$800,Nita Cunningham, (909) 578-2351,www.optimalliving1.org
Pathways 1,Azusa,Men,$800,Tim Evans, (626) 348-4805,
Pathways 2,Pomona,Women,$800,Tim Evans, (626) 348-4805,
Pathways 3,Pomona,Men,$800,Tim Evans, (626) 348-4805,
Pathways 5,Azusa,Men,$800,Tim Evans, (626) 348-4805,
Pathways 6,Covina,Men,$800,Tim Evans, (626) 348-4805,
Pathways 8,Covina,Men,$800,Tim Evans, (626) 348-4805,
Pathways 9,Covina,Men,$800,Tim Evans, (626) 348-4805,
A Peace of Mind,Riverside,Women,Varies,Jennifer Marquecho, 909-731-8667,www.apeaceofmindsoberliving.com
A Peace of Mind II,Riverside,Men,Varies,Jennifer Marquecho, 909-731-8667,www.apeaceofmindsoberliving.com
Pearce Place,Long Beach,Women,$850,Jimmy, (562) 290-3309,
Phillips House,Oxnard,Men,$600,Matt Phillips, (805) 317-5657,www.phillips-house.com
Phoenix Empowerment House,Downey,Men,$900,Jenny Chung, (714) 366-8887,
Power House Sober Living,Inglewood,Men,$800,Paul Jones, (323) 535-0830,powerhousesoberliving.org
Premiere Stays,Riverside,Men,Varies,Mylika Davis, (917) 586-5877,www.pstays.com
Premiere Stays,Riverside,Women,Varies,Mylika Davis, (917)  586-5877,www.pstays.com
Premiere Stays,Riverside,Women,Varies,Mylika Davis, (917) 586-5877,www.pstays.com
The Prodigal Sons Sober Living Home,Stockton,Men,$900,John Maestas, (209) 688-5986,www.prodigalsonssle.com
Puente House Inc.,Covina,Men,$1000,Karl Moris, (626) 437-4308,www.puentehouse.org
Puente House Inc. — Badillo,Covina,Men,$1000,Karl Moris, (626) 437-4308,www.puentehouse.org
Puente House Inc. — Puente,Covina,Women,$1000,Karl Moris, (626) 437-4308,www.puentehouse.org
R Angels Sober Living,Hanford,Men,Varies,Jessica Rangel, (559) 572-9695,
R Angels Transitional Homes,Visalia,Men,Varies,R Angels, (559) 572-9695,
R. H.O.M.E. Transitional Housing LLC,Big Bear City,Men,$1000,Toya Roberts, (951) 259-0145,
Raise A Village LA,Los Angeles,"Men, Women",$900,Monica, (818) 441-2683,
Rancho House,Riverside,Men,Varies,Barbara, 310-946-2398,
Raymond Lee Housing,Stockton,Men,$900,Alisha Bills, (209) 609-2916,
Renewed Hope House,Hanford,Men,$725,Simon Torres, (559) 852-7425,renewedhopehouse.com
Resilient Recovery Housing,Sacramento,Men,$1350,Priscilla Agbanag, (415) 606-6772,www.resilientrecoveryhousing.com
Rick Smith Recovery Residence,Blythe,Men,,Scott Collins, 909-838-8606,www.varpinc.org
Rick Smith Recovery Residence #2,Blythe,Men,,Scott Collins, 909-838-8606,www.vrpinc.org
Rick Smith Recovery Residence #3,Blythe,Men,,Scott Collins, 909-838-8606,varpinc.org
Rise Above Sober Homes – Sugarcane Dr,Moreno Valley,Men,Varies,Bill Seward, 310-947-7877,
Rise And Thrive Transitional Living,Rancho Cordova,Women,$850,Leah Roberson, (916) 710-3224,riseandthrivetl.com
Rise And Thrive Transitional Living – Amy’s House,Antelope,Women,$1050,Leah Roberson, (916) 710-3224,www.riseandthrive.com
Room 2 Grow #1,Covina,Women,$675,Kimberly Crawford, (626) 826-0601,
Room 2 Grow #2,La Puente,Women,$675,Kimberly Crawford, (626) 826-0601,
A Room For You,Yucaipa,Men,$750.00,Sharon Barros, (909) 709-1642,www.aroomforyou.org
Rosebud 1,Hemet,"Women, Women With Children",$700,Sharon Jackson, 951- 591-0362,www.theroseofsharon7.org
Rosebud 2,Hemet,"Women, Women With Children",$700,Sharon Jackson, 951-591-0362,www.theroseofsharon7.org
Rosebud 3,Hemet,Women With Children,$700,Sharon Jackson, 951-591-0362,
Rosebud 4,Hemet,Women,$700,Sharon Jackson, 951-591-0362,
Ruben’s Place East,East Ventura,Men,$725,Jose, 805-253-9574,
Ruben’s Place West,West Ventura,Men,$725,Rick Leider, (805) 442-0662,
S and T Luxury Sober Living Homes,Stockton,Coed,$1100,Shalonda, (209) 454-1033,www.stluxuryslz.com
SAFE Refuge Sober Living East,Long Beach,Coed,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
SAFE Refuge Sober Living North,Long Beach,Coed,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
SAFE Refuge Sober Living North/East,Long Beach,Men,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
SAFE Refuge Sober Living North/West,Long Beach,Coed,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
SAFE Refuge Sober Living South,Long Beach,Men,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
SAFE Refuge Sober Living West,Long Beach,Men,$500,Arthur Romo, (562) 987-5722,asaferefuge.org/
Sarah Beth 1 & 2,Rancho Cordova,Men,$1050,Leah Roberson, (916) 710-3224,www://riseandthrivetl.com
Sarah Beth 3,Fair Oaks,Women,$1200,Leah Roberson, (916) 710-3224,www://riseandthrivetl.com
Saving Grace – Chadbourne,Riverside,Men,$799,Steve Lusk, 951-444-5806,
Saving Grace Homes – Carlin,Riverside,Men,$799,Steve Lusk, 951-444-5806,
Saving Grace Homes – Shalu,Moreno Valley,Men,$799,Steve Lusk, 951-444-5806,savinggracehomes.com/
Sea Change — Norwood Recovery Residence,Sacramento,Men,$900,Anthony Wingfield, (209) 513-2319,valleysoberliving.us
Sea Change Butterball Recovery Residence,Sacramento,Coed,$825,Anthony Wingfield, (209) 513-2319,valleysoberliving.us
Sea Change Roseville 4TH Street,Roseville,Coed,$825,Anthony Wingfield, (209) 513-2319,valleysoberliving.org
Sea Change/VSL – Hillborn House,Lodi,Coed,$650 - $700,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL – Lodi Elm SLE,Lodi,Coed,$650,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL 4TH Street SLE,Roseville,Coed,$825,Anthony   (209) 513-2319, Mollie (209) 430-7547,
Sea Change/VSL Mount Diablo SLE,Stockton,Men,$600,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL Mourfield SLE (ADA),Stockton,Coed,$675,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL Rivara House,Stockton,Coed,$625,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL Victory House,Stockton,Women,$650,Anthony   (209) 513-2319, Mollie (209) 430-7547,www.valleysoberliving.org
Sea Change/VSL/Taylor,Antioch,"Women, Women With Children",$950,Anthony Winfield, (209) 513-2319,www.valleysoberliving.org
Serenity 2 Infinity Sober Living,Adelanto,Men,Varies,Kevin Brunston, 760 292-3110,www.serenity2infinity.com
Serenity and Steps Sober Living,Long Beach,Women With Children,$900 - W/$900 Deposit,Willie Middlebrook, 562-900-0649,www.serenityandsteps.com
Serenity and Steps Sober Living,Long Beach,Coed,Price $900 -- W/$900 Deposit,Willie Middlebrook, 562-900-0649,www.serenityandsteps.com
