Company,Website,City/Region,Phone,Contact Name,Contact Title,Email,Est. Size,Already on Sober Stay,Why Now
Monarch Recovery Centers,https://monarchrecoverycenters.com/,"Sacramento, San Francisco",707-205-5254,,,,Multiple locations in SF and Sacramento,Yes,Your dual presence in SF and Sacramento aligns perfectly with Sober Stay's target Northern California regions.
Gateway SLE,https://www.gatewaysle.com/,San Francisco Bay Area,415-602-6852,,House Parents mentioned,,Multiple locations throughout the Bay Area,No,Listing on Sober Stay will help you fill vacancies quickly by connecting you directly with individuals leaving treatment.
Action Housing LLC,https://www.actionhousingllc.com/,San Francisco & Peninsula,(650) 290-3800,,,,10 locations,No,"With 10 locations, a centralized listing on Sober Stay will streamline your intake process and increase visibility."
Golden Gate Recovery,https://goldengaterecovery.com/,Marin County,415-321-4111,,,,Men's only sober living,Yes,Your specialized focus on men's recovery in Marin County is a high-demand niche on the Sober Stay platform.
Clean & Sober Transitional Living (CSTL),https://clean-and-sober-living.com/,"Fair Oaks, Sacramento",(916) 961-2691,,,,14 recovery homes,No,"With a long-standing reputation and 14 homes, Sober Stay can help you modernize your digital reach to new residents."
Bridges Inc.,https://www.bridgesinc.net/,Sacramento,(916) 450-0701,,,,"Multiple (Promise House, Women & Children's)",Yes,Your specialized homes for women and children address a critical need that Sober Stay users are actively searching for.
Willow Manor Sober Homes,https://willowmanorsoberhomes.com/,Sacramento,,,,,Sacramento area SLE,No,"As a community-focused SLE, Sober Stay provides the perfect platform to highlight your supportive environment."
Opportunity House Sober Living,https://opportunityhousefresno.com/,Fresno,(559) 907-8528,,,,Fresno based structured living,No,Expanding your reach to the Central Valley via Sober Stay will help you support more individuals in the Fresno area.
The Nachbar House,http://www.thenachbarhouse.com/,Bakersfield,(818) 876-2045,,,,Men's home (4 beds/2 baths),No,"Being a newer establishment in Bakersfield, Sober Stay can provide the immediate visibility you need to reach capacity."
Brenda Jean's Sober Living,https://www.brendajeans.org/,Bakersfield,,,,,Nonprofit facility with comprehensive services,No,Your holistic approach with meals and security is exactly what families are looking for on Sober Stay.
Sobriety Works,https://sobrietyworks.com/,Santa Cruz,(831) 476-1747,,,sobrietyworks@sobrietyworks.com,Gender-specific SLE housing,No,"As a primary Santa Cruz provider, listing on Sober Stay will attract more out-of-area residents looking for coastal recovery."
Recovery and Restoration Services,https://www.rarsca.com/,Monterey,(831) 512-4722,,,,Men's sober living facility,No,Monterey is a prime location for recovery; Sober Stay can help you capture the interest of individuals seeking a fresh start by the sea.
Elm House (Community Human Services),https://chservices.org/substance-abuse/elm-house/,Monterey County,(831) 658-3811,,,,Monterey County sober living,No,Partnering with Sober Stay will help you integrate your community services with a broader network of recovery seekers.
South Bay Sober Living,https://www.southbaysoberliving.com/,"Redondo Beach, Torrance, San Diego",(844) 316-2809,Not found,Not found,Not found,"Multiple locations (Torrance, Redondo Beach, San Diego)",No,Expanding presence in both LA and San Diego makes them a prime candidate for a unified listing platform like Sober Stay.
Shoreline Sober Living,https://www.shorelinesoberliving.com/,San Diego,Not found,Not found,Not found,Not found,Multiple (Luxury homes mentioned),Yes,"As a top-rated luxury provider in San Diego, listing on Sober Stay would cement their status among high-end recovery options."
Sober Living West,https://soberlivingwest.com/,West Los Angeles,Not found,Not found,Not found,Not found,At least 1 (Men's home),No,"Being a localized West LA provider, they need the broader digital visibility that Sober Stay provides to compete with larger networks."
Haven House Sober Living,https://havenhousesoberliving.com/,Los Angeles,310-490-5161,Not found,Not found,Not found,At least 1,Yes,Their 2025/2026 update status on Yelp suggests they are actively marketing and would benefit from an early-mover advantage on Sober Stay.
Sober Living California (The House),https://soberliving-california.com/,Los Angeles,(424) 327-9081,Not found,Not found,Not found,"Founded 2017, multiple success stories implied",No,"Their 'The House' branding fits the Sober Stay aesthetic of high-quality, residential-focused recovery."
Pura Vida Recovery (Sober Living Team),https://pvrecovery.com/sober-living/,Santa Rosa,(707) 879-8432,Not found,Not found,Not found,"Multiple (Men's, Women's, and Co-ed options)",No,"With specialized co-ed and veteran options, they offer unique inventory that Sober Stay users are actively searching for."
Gambit Recovery,https://www.gambitrecovery.com/,Expansion in California mentioned,Not found,Not found,Not found,Not found,Expanding nationwide,No,Their rapid expansion strategy in 2025 makes them a high-value partner for a platform that can scale with their growth.
Vanderburgh Sober Living (San Jose/San Bernardino),https://www.vanderburghhouse.com/,"San Jose, San Bernardino",Not found,Not found,Not found,Not found,New openings in 2025/2026,No,Their new 2025 openings in San Jose and San Bernardino require immediate lead generation which Sober Stay can provide.
Gold Street Sober Living House,https://www.shastacounty.gov/community/page/new-beginning-gold-street-sober-living-house,Redding (Shasta County),Not found,Not found,Not found,Not found,1 house,No,"As a government-partnered 'New Beginning' project, they represent the emerging public-private partnership model in sober living."
Oxford House Golden Empire,https://www.transitionalhousing.org/li/ca_93304_-oxford-house-golden-empire,Bakersfield,Not found,Not found,Not found,Not found,1 house (part of Oxford House network),No,Oxford Houses are the backbone of affordable sober living and would benefit from the modern management tools Sober Stay offers.
Oxford House Pilot,https://www.transitionalhousing.org/li/ca_92867_oxford-house-pilot,Orange,Not found,Not found,Not found,Not found,1 house,No,Increasing their visibility in Orange County's competitive market is essential for maintaining their occupancy rates.
Cinelli Women's Oxford House,https://soberhousedirectory.com/homes/california/concord/recovery-home/cinelli-womens-oxford-house-21958173728/,Concord,Not found,Not found,Not found,Not found,1 house,No,Specialized women's housing often has lower turnover; Sober Stay can help them reach a wider audience for their niche services.
